APT,DATE,PHASE,N_VALID,N_VALID_MONTH,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
SBBR,2024-02-01,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,3,18,49,26,11,12,9,7,1,4,2,2,1,1,2,3
SBBR,2024-02-02,ARR,53792,4051,0,0,0,0,1,0,1,7,11,11,25,18,15,10,6,11,5,6,2,3,3,3,1,3,0,5
SBBR,2024-02-02,DEP,53792,4015,0,0,0,0,1,0,0,0,0,0,3,34,41,22,15,5,6,6,3,2,1,1,1,0,1,4
SBBR,2024-02-03,ARR,53792,4051,1,0,0,2,2,1,2,5,15,14,22,21,17,14,4,5,2,0,1,1,1,0,0,0,1,3
SBBR,2024-02-03,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,3,32,43,14,11,10,6,3,2,5,0,2,0,0,0,3
SBBR,2024-02-04,ARR,53792,4051,0,0,0,0,3,1,2,6,14,16,26,16,13,7,5,2,7,2,4,2,1,2,1,0,1,0
SBBR,2024-02-04,DEP,53792,4015,0,0,0,0,0,0,0,0,0,1,3,33,46,20,7,3,6,1,2,0,1,1,0,2,0,0
SBBR,2024-02-05,ARR,53792,4051,0,1,0,0,0,1,2,6,19,21,23,21,20,8,10,5,9,3,2,0,0,0,1,0,0,2
SBBR,2024-02-05,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,11,53,41,16,7,10,4,1,1,2,2,1,0,0,0,1
SBBR,2024-02-06,ARR,53792,4051,0,0,0,0,0,1,2,8,15,17,26,17,19,10,14,6,2,3,2,0,0,1,0,1,1,2
SBBR,2024-02-06,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,7,37,45,21,13,11,5,1,4,1,0,0,1,0,0,2
SBBR,2024-02-07,ARR,53792,4051,0,0,1,0,1,0,1,13,19,14,23,17,12,9,11,4,3,4,1,2,2,1,2,0,0,8
SBBR,2024-02-07,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,7,25,60,15,13,3,4,4,1,1,5,1,1,0,1,7
SBBR,2024-02-08,ARR,53792,4051,0,0,0,0,0,0,0,4,14,13,21,19,15,18,5,7,6,9,2,4,1,0,1,0,0,3
SBBR,2024-02-08,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,3,18,49,23,6,7,6,5,4,2,3,1,1,0,0,5
SBBR,2024-02-09,ARR,53792,4051,0,0,0,0,0,0,5,9,10,8,20,14,27,13,14,6,5,4,6,0,0,2,2,1,0,4
SBBR,2024-02-09,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,3,24,31,23,8,15,8,7,4,2,2,0,0,2,1,6
SBBR,2024-02-10,ARR,53792,4051,0,1,0,0,0,1,3,6,16,18,15,17,14,7,9,4,5,3,0,3,0,1,0,0,1,2
SBBR,2024-02-10,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,7,25,40,23,7,9,6,6,1,4,0,4,0,0,0,3
SBBR,2024-02-11,ARR,53792,4051,0,0,0,1,0,0,3,6,10,16,23,14,3,3,2,4,1,1,2,1,0,0,1,0,0,2
SBBR,2024-02-11,DEP,53792,4015,0,0,0,0,0,0,0,0,0,1,10,33,26,8,6,3,2,3,0,2,0,0,1,1,0,0
SBBR,2024-02-12,ARR,53792,4051,0,0,0,0,2,2,9,10,14,20,23,11,7,2,2,0,1,1,1,1,0,0,0,0,0,1
SBBR,2024-02-12,DEP,53792,4015,0,0,0,0,0,0,0,0,0,1,17,38,30,9,2,5,0,0,1,0,0,0,0,0,0,0
SBBR,2024-02-13,ARR,53792,4051,0,0,0,0,0,0,5,10,20,34,18,14,4,5,2,0,3,0,0,0,0,0,0,0,0,0
SBBR,2024-02-13,DEP,53792,4015,0,0,0,0,0,0,0,0,0,2,21,62,26,5,0,1,1,1,0,0,0,0,0,0,0,0
SBBR,2024-02-14,ARR,53792,4051,0,1,0,1,0,1,7,12,16,24,17,15,12,5,3,4,2,4,1,0,2,1,2,0,0,3
SBBR,2024-02-14,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,25,41,37,8,3,5,4,1,2,0,1,1,0,0,0,6
SBBR,2024-02-15,ARR,53792,4051,0,0,0,2,0,0,1,12,23,21,28,19,10,4,3,5,1,4,2,1,0,1,0,0,0,2
SBBR,2024-02-15,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,17,48,48,14,6,2,2,1,2,0,1,0,0,0,0,1
SBBR,2024-02-16,ARR,53792,4051,2,0,0,0,0,0,0,14,20,21,28,20,19,10,5,1,1,0,3,0,0,1,0,0,0,0
SBBR,2024-02-16,DEP,53792,4015,0,1,0,0,0,0,0,0,0,1,23,49,40,15,5,3,1,1,2,0,0,0,0,0,0,0
SBBR,2024-02-17,ARR,53792,4051,0,0,0,0,0,1,3,17,19,18,31,19,11,6,1,1,2,0,0,0,0,0,1,0,0,0
SBBR,2024-02-17,DEP,53792,4015,0,0,0,0,0,0,0,0,1,0,14,51,39,11,5,2,5,0,1,2,0,0,0,1,0,0
SBBR,2024-02-18,ARR,53792,4051,0,0,0,0,1,0,4,5,11,13,23,9,10,11,3,4,5,5,4,2,2,2,1,2,0,4
SBBR,2024-02-18,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,14,32,33,13,7,5,2,2,2,1,0,1,2,0,0,5
SBBR,2024-02-19,ARR,53792,4051,0,0,0,0,0,1,1,1,6,16,17,21,13,14,14,9,14,0,6,1,2,5,1,3,0,13
SBBR,2024-02-19,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,1,33,48,21,14,5,5,4,3,2,2,2,3,2,1,13
SBBR,2024-02-20,ARR,53792,4051,0,0,0,0,0,0,0,4,6,11,23,22,22,17,14,14,7,5,3,3,2,1,1,0,0,6
SBBR,2024-02-20,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,3,32,47,25,17,10,6,1,1,6,2,1,1,0,0,5
SBBR,2024-02-21,ARR,53792,4051,0,0,0,0,0,2,0,7,5,21,32,22,20,6,10,3,8,3,4,0,0,3,0,0,0,1
SBBR,2024-02-21,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,6,40,45,21,6,9,5,5,1,2,2,1,0,0,0,2
SBBR,2024-02-22,ARR,53792,4051,0,0,0,0,0,0,4,4,13,14,28,22,20,17,8,12,3,4,1,0,0,0,0,1,0,3
SBBR,2024-02-22,DEP,53792,4015,0,0,0,0,0,0,0,0,0,1,6,34,52,25,17,2,5,2,3,3,0,0,0,0,0,1
SBBR,2024-02-23,ARR,53792,4051,0,0,0,0,0,0,1,10,19,8,26,24,18,13,7,5,5,4,3,5,1,2,0,0,0,6
SBBR,2024-02-23,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,4,34,55,25,14,8,1,3,2,1,1,0,0,0,0,7
SBBR,2024-02-24,ARR,53792,4051,0,0,0,0,0,0,2,5,18,17,29,18,12,4,2,6,4,0,2,0,2,1,1,0,2,0
SBBR,2024-02-24,DEP,53792,4015,0,0,0,0,0,0,0,0,0,1,9,38,39,6,9,1,3,1,0,0,1,1,1,0,1,5
SBBR,2024-02-25,ARR,53792,4051,0,0,0,0,0,3,4,9,14,14,24,24,11,5,3,3,2,2,1,0,1,0,0,1,0,1
SBBR,2024-02-25,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,9,42,49,14,5,2,1,0,2,0,0,0,0,0,0,2
SBBR,2024-02-26,ARR,53792,4051,0,0,0,0,1,1,0,6,15,13,38,15,27,13,7,3,2,2,0,1,1,2,1,0,0,6
SBBR,2024-02-26,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,13,51,47,18,9,3,3,2,1,0,1,1,0,0,1,4
SBBR,2024-02-27,ARR,53792,4051,0,0,0,0,0,1,2,5,15,13,44,25,21,12,6,4,3,1,0,3,0,1,2,0,0,0
SBBR,2024-02-27,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,15,51,45,21,4,5,4,0,2,0,0,4,0,0,0,3
SBBR,2024-02-28,ARR,53792,4051,0,0,0,0,1,0,1,12,22,13,31,19,15,8,11,2,4,3,0,2,1,0,2,0,1,2
SBBR,2024-02-28,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,11,47,38,21,10,7,4,0,2,1,1,0,1,0,2,2
SBBR,2024-02-29,ARR,53792,4051,0,0,0,0,0,1,4,9,17,10,22,23,16,8,10,6,9,5,3,5,1,1,1,1,0,5
SBBR,2024-02-29,DEP,53792,4015,0,0,0,0,0,0,0,0,0,0,2,40,52,19,13,10,4,3,4,0,4,2,2,0,0,3
SBBR,2024-03-01,ARR,53792,4470,0,0,0,0,0,0,3,6,15,12,28,18,25,13,11,9,7,4,3,1,1,1,0,0,0,4
SBBR,2024-03-01,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,4,26,47,30,24,7,4,3,5,3,2,2,0,0,0,4
SBBR,2024-03-02,ARR,53792,4470,0,0,0,0,1,0,3,6,16,25,19,33,8,4,3,3,0,0,2,2,0,0,1,0,1,2
SBBR,2024-03-02,DEP,53792,4500,0,0,0,0,0,0,0,0,0,0,8,50,52,11,1,1,4,2,0,2,1,1,1,0,0,3
